,ID,y,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries
1038,0x1d9f,1,22.0,5,19283.47,1886.9558333333327,10,8,34,9.0,38,15.0,26.43,12.0
1039,0x1da0,1,22.0,5,19283.47,1886.9558333333327,10,8,34,9.0,42,17.0,26.43,12.0
1040,0x1da6,0,23.0,13,66502.76,5541.8966666666665,0,6,1,2.0,29,7.0,7.06,2.0
1041,0x1da7,0,23.0,13,66502.76,5541.8966666666665,0,6,1,2.0,31,10.0,7.06,2.0
1042,0x1da8,0,23.0,13,66502.76,5379.8966666666665,0,6,1,2.0,29,10.0,7.06,2.0
1043,0x1da9,0,23.0,13,66502.76,5379.8966666666665,0,6,1,2.0,29,8.0,13.06,2.0
1044,0x1daa,1,23.0,13,66502.76,5379.8966666666665,0,6,1,2.0,29,10.0,7.06,2.0
1045,0x1dac,0,24.0,13,66502.76,5379.8966666666665,0,6,1,2.0,29,11.0,7.06,2.0
1046,0x1dad,0,24.0,13,66502.76,5379.8966666666665,0,6,1,2.0,29,10.0,7.06,2.0
1049,0x1db4,0,33.0,10,9444.795,850.06625,7,8,28,6.0,26,11.0,12.57,7.0
1051,0x1db6,0,34.0,10,9444.795,850.06625,7,8,28,6.0,26,11.0,9.41,7.0
1053,0x1db8,0,34.0,10,9444.795,850.06625,7,8,28,6.0,26,11.0,17.57,7.0
1054,0x1db9,0,34.0,10,9444.795,787.06625,7,8,28,6.0,26,11.0,17.57,7.0
1055,0x1dbf,1,46.0,3,70112.78,5989.731666666668,1,7,3,2.0,5,3.0,1.75,2.0
1057,0x1dc2,0,46.0,3,70112.78,5989.731666666668,1,7,3,2.0,3,4.0,9.41,5.0
1059,0x1dc4,0,46.0,3,70112.78,5989.731666666668,1,7,3,2.0,5,1.0,1.75,5.0
1060,0x1dc5,0,47.0,3,70112.78,5989.731666666668,1,7,3,2.0,5,3.0,1.75,5.0
1061,0x1dca,0,17.0,5,15604.56,1389.38,9,5,25,3.0,27,23.0,9.08,10.0
1063,0x1dcf,0,17.0,5,15604.56,1389.38,9,5,25,3.0,31,23.0,9.41,13.0
1064,0x1dd1,1,17.0,5,15604.56,1300.38,9,5,25,3.0,27,23.0,8.08,13.0
1065,0x1dd6,1,36.0,12,68935.26,5518.605,1,5,8,3.0,18,6.0,3.25,4.0
1066,0x1dd7,1,36.0,8,68935.26,5518.605,1,5,8,3.0,14,8.0,3.25,4.0
1068,0x1dd9,1,36.0,8,68935.26,5518.605,1,5,8,3.0,14,5.0,3.25,4.0
1069,0x1ddb,1,37.0,8,68935.26,5518.605,1,5,8,3.0,14,3.0,2.25,4.0
1070,0x1ddc,1,37.0,8,68935.26,5744.605,1,5,8,3.0,14,6.0,3.25,5.0
1072,0x1de2,1,42.0,3,31807.0,2650.583333333333,8,3,14,2.0,21,8.0,14.68,1.0
1073,0x1de3,1,42.0,3,31807.0,2733.583333333333,8,3,14,2.0,17,8.0,14.68,1.0
1074,0x1de4,1,42.0,3,31807.0,2733.583333333333,8,3,14,2.0,17,8.0,14.68,6.0
1075,0x1de5,1,42.0,3,31807.0,2650.583333333333,8,3,14,2.0,21,14.0,20.68,1.0
1076,0x1de6,1,42.0,3,31807.0,2650.583333333333,8,3,14,2.0,12,8.0,14.68,1.0
1077,0x1de7,1,42.0,3,31807.0,2650.583333333333,8,3,14,2.0,17,11.0,14.68,1.0
1078,0x1de8,1,42.0,3,31807.0,2733.583333333333,8,3,14,2.0,18,8.0,14.68,1.0
1079,0x1de9,1,42.0,3,31807.0,2733.583333333333,8,3,14,2.0,20,8.0,14.68,1.0
1080,0x1dee,0,36.0,11,10025.2,1089.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1081,0x1def,0,36.0,11,10025.2,1089.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1082,0x1df0,0,36.0,12,10025.2,835.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1083,0x1df2,0,36.0,12,10025.2,1089.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1084,0x1df3,0,36.0,11,10025.2,1089.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1086,0x1df5,0,37.0,12,10025.2,835.4333333333334,10,10,21,7.0,23,14.0,16.88,12.0
1087,0x1dfa,1,39.0,10,64036.88,5336.406666666667,8,4,15,4.0,29,14.0,14.7,4.0
1088,0x1dfb,1,39.0,10,64036.88,5591.406666666668,8,4,15,4.0,29,17.0,14.7,4.0
1089,0x1dfc,1,39.0,10,64036.88,5336.406666666667,8,4,15,4.0,26,15.0,14.7,4.0
1090,0x1dfd,1,39.0,10,64036.88,5336.406666666667,8,4,15,4.0,29,15.0,14.7,4.0
1092,0x1dff,1,39.0,10,64036.88,5336.406666666667,8,4,15,4.0,29,15.0,14.7,4.0
1093,0x1e00,1,39.0,10,64036.88,5591.406666666668,8,4,15,4.0,29,15.0,14.7,4.0
1094,0x1e01,1,39.0,10,64036.88,5591.406666666668,8,4,15,4.0,31,15.0,14.7,9.0
1095,0x1e06,0,29.0,14,9783.245,815.2704166666667,8,6,29,8.0,45,19.0,7.75,7.0
1096,0x1e08,0,29.0,14,9783.245,908.2704166666668,8,6,29,8.0,48,18.0,3.75,7.0
1097,0x1e09,0,29.0,14,9783.245,908.2704166666668,8,6,29,8.0,42,17.0,7.75,7.0
1099,0x1e0b,0,30.0,14,9783.245,908.2704166666668,8,6,29,8.0,45,17.0,7.75,7.0
1100,0x1e0c,0,30.0,14,9783.245,908.2704166666668,8,6,29,8.0,45,17.0,7.75,7.0
1101,0x1e0d,0,30.0,12,9783.245,815.2704166666667,8,6,29,8.0,45,14.0,7.75,7.0
1102,0x1e12,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,17,10.0,15.51,8.0
1103,0x1e13,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,14,9.0,15.51,8.0
1105,0x1e15,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,14,14.0,8.51,8.0
1106,0x1e16,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,14,10.0,15.51,8.0
1107,0x1e17,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,14,8.0,9.51,8.0
1108,0x1e18,1,22.0,0,86522.72,7098.2266666666665,8,5,13,1.0,16,13.0,15.51,8.0
1109,0x1e19,1,22.0,12,86522.72,7098.2266666666665,8,5,13,1.0,14,8.0,15.51,13.0
1110,0x1e1e,1,21.0,7,124419.66,10221.305,3,4,11,4.0,13,9.0,7.12,0.0
1111,0x1e1f,1,21.0,12,124419.66,10221.305,3,4,11,4.0,13,8.0,12.12,0.0
1112,0x1e20,1,21.0,7,124419.66,10221.305,3,4,11,4.0,13,8.0,7.12,0.0
1113,0x1e21,1,21.0,7,124419.66,10221.305,3,4,11,4.0,13,8.0,3.12,0.0
1114,0x1e25,1,21.0,7,124419.66,10221.305,3,4,11,4.0,18,8.0,7.12,0.0
1115,0x1e2a,0,50.0,5,15606.515,1234.5429166666663,3,4,6,4.0,8,1.0,9.37,2.0
1116,0x1e2b,0,50.0,12,15606.515,1234.5429166666663,3,4,6,4.0,7,1.0,9.37,2.0
1117,0x1e2c,0,50.0,12,15606.515,1234.5429166666663,3,4,6,4.0,7,1.0,9.37,2.0
1118,0x1e2d,0,50.0,5,15606.515,1234.5429166666663,3,4,6,4.0,7,1.0,9.37,2.0
1119,0x1e2e,1,50.0,5,15606.515,1234.5429166666663,3,4,6,4.0,7,1.0,9.37,2.0
1121,0x1e30,0,50.0,5,15606.515,1234.5429166666663,3,4,6,4.0,7,1.0,9.37,2.0
1122,0x1e31,0,50.0,12,15606.515,1300.5429166666663,3,4,6,4.0,7,3.0,9.37,2.0
1123,0x1e36,1,24.0,2,28230.92,2352.5766666666664,8,6,32,7.0,49,17.0,22.17,11.0
1124,0x1e37,1,24.0,2,28230.92,2184.5766666666664,8,6,32,7.0,49,16.0,25.17,11.0
1126,0x1e39,1,24.0,2,28230.92,2184.5766666666664,8,6,32,7.0,49,16.0,25.17,11.0
1127,0x1e3a,1,24.0,2,28230.92,2184.5766666666664,8,6,32,7.0,49,16.0,26.17,11.0
1128,0x1e3b,1,24.0,12,28230.92,2184.5766666666664,8,6,32,7.0,45,14.0,18.17,14.0
1129,0x1e3c,1,24.0,2,28230.92,2184.5766666666664,8,6,32,7.0,51,19.0,25.17,14.0
1130,0x1e3d,1,25.0,2,28230.92,2184.5766666666664,8,6,32,7.0,49,16.0,25.17,14.0
1132,0x1e43,1,28.0,2,10623.765,895.3137499999998,6,3,18,3.0,7,12.0,16.39,7.0
1134,0x1e45,1,29.0,2,10623.765,885.3137499999999,6,3,18,3.0,7,9.0,16.39,7.0
1136,0x1e48,1,29.0,2,10623.765,895.3137499999998,6,3,18,3.0,2,10.0,16.39,7.0
1137,0x1e4e,1,19.0,14,11970.955,1169.5795833333332,8,4,7,2.0,26,8.0,4.72,1.0
1138,0x1e4f,1,19.0,14,11970.955,1169.5795833333332,8,4,7,2.0,31,8.0,11.72,1.0
1140,0x1e51,1,19.0,12,11970.955,997.5795833333332,8,4,7,2.0,31,8.0,-1.2800000000000002,1.0
1141,0x1e52,1,19.0,14,11970.955,1169.5795833333332,8,4,7,2.0,26,5.0,4.72,1.0
1143,0x1e54,1,19.0,12,11970.955,1169.5795833333332,8,4,7,2.0,22,8.0,9.41,1.0
1144,0x1e5a,1,40.0,8,112362.76,9363.563333333334,4,4,5,4.0,25,20.0,5.86,2.0
1146,0x1e5c,1,40.0,8,112362.76,9279.563333333334,4,4,5,4.0,25,20.0,12.86,2.0
1147,0x1e5d,1,40.0,8,112362.76,9363.563333333334,4,4,5,4.0,25,20.0,5.86,2.0
1148,0x1e5e,0,40.0,8,112362.76,9279.563333333334,4,4,5,4.0,30,19.0,5.86,2.0
1149,0x1e5f,0,40.0,8,112362.76,9279.563333333334,4,4,5,4.0,27,20.0,5.86,2.0
1150,0x1e60,1,40.0,8,112362.76,9363.563333333334,4,4,5,4.0,25,17.0,5.86,2.0
1151,0x1e61,1,41.0,8,112362.76,9279.563333333334,4,4,5,4.0,25,20.0,5.86,2.0
1152,0x1e66,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,-2,7.0,4.07,4.0
1153,0x1e67,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,6,7.0,4.07,4.0
1154,0x1e68,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,1,7.0,4.07,4.0
1155,0x1e69,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,1,7.0,-1.93,4.0
1156,0x1e6a,1,20.0,8,33335.24,2777.9366666666665,1,6,8,1.0,1,7.0,8.07,4.0
1157,0x1e6b,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,6,7.0,4.07,4.0
1158,0x1e6d,1,20.0,8,33335.24,3059.936666666666,1,6,8,1.0,1,7.0,4.07,4.0
1160,0x1e73,1,32.0,8,131577.84,10964.82,2,3,3,2.0,14,2.0,4.53,2.0
1161,0x1e74,1,32.0,8,131577.84,11205.82,2,3,3,2.0,14,2.0,1.53,6.0
1162,0x1e75,1,32.0,8,131577.84,10964.82,2,3,3,2.0,14,2.0,1.53,2.0
1163,0x1e76,1,32.0,8,131577.84,10964.82,2,3,3,2.0,11,2.0,1.53,2.0
1164,0x1e77,1,32.0,8,131577.84,10964.82,2,3,3,2.0,14,2.0,1.53,2.0
1165,0x1e78,1,32.0,8,131577.84,11205.82,2,3,3,2.0,14,2.0,3.53,2.0
1169,0x1e80,1,49.0,5,32314.44,2805.87,2,5,5,3.0,9,9.0,9.54,0.0
1171,0x1e82,1,49.0,5,32314.44,2805.87,2,5,5,3.0,9,11.0,9.54,0.0
1173,0x1e85,1,49.0,5,32314.44,2681.16628073925,2,5,5,3.0,6,11.0,16.54,2.0
1174,0x1e8b,1,20.0,8,61235.6,4870.966666666666,0,5,7,1.0,13,14.0,11.42,2.0
1175,0x1e8c,1,20.0,12,61235.6,5102.966666666666,0,5,7,1.0,13,3.0,11.42,2.0
1176,0x1e8d,1,20.0,8,61235.6,4870.966666666666,0,5,7,1.0,17,0.0,11.42,2.0
1177,0x1e8e,1,20.0,8,61235.6,4870.966666666666,0,5,7,1.0,13,3.0,11.42,2.0
1178,0x1e8f,1,20.0,8,61235.6,4870.966666666666,0,5,7,1.0,13,3.0,11.42,2.0
1179,0x1e90,1,20.0,8,61235.6,4870.966666666666,0,5,7,1.0,13,3.0,11.42,2.0
1180,0x1e97,1,40.0,6,19078.93,1304.9108333333334,5,7,20,0.0,19,16.0,19.34,4.0
1182,0x1e9a,1,40.0,6,19078.93,1304.9108333333334,5,7,20,0.0,21,14.0,19.34,4.0
1183,0x1ea2,0,34.0,9,83703.52,6975.293333333334,6,9,27,8.0,26,20.0,21.02,10.0
1184,0x1ea3,0,34.0,9,83703.52,6975.293333333334,6,9,27,8.0,27,20.0,28.02,10.0
1185,0x1ea5,1,34.0,9,83703.52,6955.293333333334,6,9,27,8.0,25,18.0,28.02,10.0
1188,0x1ea9,0,34.0,9,83703.52,6955.293333333334,6,9,27,8.0,26,14.0,28.02,10.0
1189,0x1eae,1,45.0,11,99127.04,8217.586666666666,8,3,10,4.0,17,16.0,13.88,2.0
1190,0x1eaf,1,45.0,11,99127.04,8217.586666666666,8,3,10,4.0,17,19.0,13.88,6.0
1191,0x1eb0,1,45.0,11,99127.04,8217.586666666666,8,3,10,4.0,15,19.0,13.88,7.0
1192,0x1eb1,1,45.0,11,99127.04,8217.586666666666,8,3,10,4.0,17,19.0,7.880000000000001,7.0
1193,0x1eb2,1,45.0,11,99127.04,8217.586666666666,8,3,10,4.0,17,14.0,13.88,7.0
1195,0x1eb4,1,46.0,11,99127.04,8217.586666666666,8,3,10,4.0,22,19.0,13.88,7.0
1196,0x1eb5,1,46.0,11,99127.04,8217.586666666666,8,3,10,4.0,17,19.0,13.88,7.0
1197,0x1eba,0,15.0,15,10405.01,694.0841666666665,6,7,30,5.0,54,14.0,12.66,6.0
1198,0x1ebb,0,15.0,15,10405.01,694.0841666666665,6,7,30,5.0,54,15.0,12.66,9.0
1199,0x1ebc,0,15.0,15,10405.01,867.0841666666666,6,7,30,5.0,51,14.0,12.66,9.0
1201,0x1ebe,0,15.0,15,10405.01,694.0841666666665,6,7,30,5.0,54,15.0,13.66,9.0
1202,0x1ebf,0,15.0,15,10405.01,694.0841666666665,6,7,30,5.0,54,15.0,12.66,9.0
1203,0x1ec6,1,42.0,7,135895.96,11324.663333333332,8,4,6,0.0,12,17.0,7.45,1.0
1204,0x1ec7,1,42.0,7,135895.96,11304.663333333332,8,4,6,0.0,12,17.0,7.45,1.0
1206,0x1ec9,1,43.0,7,135895.96,11304.663333333332,8,4,6,0.0,14,17.0,2.45,1.0
1207,0x1ecb,1,43.0,7,135895.96,11304.663333333332,8,4,6,0.0,12,17.0,9.41,1.0
1208,0x1ecc,1,43.0,7,135895.96,11304.663333333332,8,4,6,0.0,12,19.0,7.45,3.0
1209,0x1ecd,1,43.0,7,135895.96,11304.663333333332,8,4,6,0.0,12,17.0,12.45,3.0
1211,0x1ed3,0,21.0,3,29608.46,2625.3716666666664,7,8,31,7.0,45,16.0,9.06,10.0
1212,0x1ed4,0,21.0,3,29608.46,2467.3716666666664,7,8,31,7.0,42,16.0,9.06,10.0
1213,0x1ed5,0,22.0,3,29608.46,2625.3716666666664,7,8,31,7.0,44,16.0,9.06,10.0
1214,0x1ed6,0,22.0,3,29608.46,2625.3716666666664,7,8,31,7.0,41,16.0,8.06,10.0
1215,0x1ed7,0,22.0,3,29608.46,2625.3716666666664,7,8,31,7.0,39,15.0,9.06,10.0
1216,0x1ed8,1,22.0,12,29608.46,2467.3716666666664,7,8,31,7.0,42,16.0,9.06,10.0
1217,0x1ed9,0,22.0,12,29608.46,2625.3716666666664,7,8,31,7.0,42,16.0,9.06,10.0
1219,0x1ee0,0,30.0,5,29999.94,2767.995,10,9,15,5.0,42,21.0,7.67,10.0
1220,0x1ee1,0,30.0,5,29999.94,2767.995,10,9,15,5.0,42,20.0,7.67,10.0
1221,0x1ee2,0,30.0,5,29999.94,2767.995,10,9,15,5.0,42,21.0,7.67,10.0
1223,0x1ee4,1,30.0,5,29999.94,2767.995,10,9,15,5.0,42,21.0,7.67,13.0
1225,0x1eea,0,15.0,11,52972.5,4600.375,7,5,32,3.0,46,24.0,7.2,11.0
1226,0x1eec,0,15.0,11,52972.5,4600.375,7,5,32,3.0,49,24.0,7.2,11.0
1227,0x1eed,1,15.0,11,52972.5,4600.375,7,5,32,3.0,46,24.0,7.2,11.0
1228,0x1eee,1,15.0,12,52972.5,4600.375,7,5,32,3.0,46,27.0,7.2,12.0
1229,0x1eef,1,15.0,11,52972.5,4600.375,7,5,32,3.0,46,24.0,7.2,12.0
1230,0x1ef0,1,15.0,11,52972.5,4414.375,7,5,32,3.0,46,26.0,7.2,12.0
1231,0x1ef1,1,15.0,11,52972.5,4414.375,7,5,32,3.0,47,24.0,7.2,12.0
1232,0x1ef6,0,18.0,10,113781.38999999998,9549.7825,1,4,1,0.0,14,7.0,11.34,1.0
1233,0x1ef8,0,18.0,10,113781.38999999998,9481.7825,1,4,1,0.0,19,7.0,11.34,1.0
1234,0x1ef9,1,18.0,10,113781.38999999998,9549.7825,1,4,1,0.0,14,7.0,9.41,1.0
1235,0x1efa,0,19.0,10,113781.38999999998,9549.7825,1,4,1,0.0,9,7.0,11.34,1.0
1236,0x1efb,0,19.0,10,113781.38999999998,9549.7825,1,4,1,0.0,14,7.0,11.34,1.0
1237,0x1efc,1,19.0,10,113781.38999999998,9549.7825,1,4,1,0.0,10,7.0,11.34,4.0
1238,0x1efd,1,19.0,10,113781.38999999998,9549.7825,1,4,1,0.0,14,8.0,8.34,4.0
1241,0x1f05,0,30.0,7,15746.63,1122.2191666666663,4,3,18,5.0,20,13.0,10.83,4.0
1242,0x1f06,1,30.0,7,15746.63,1122.2191666666663,4,3,18,5.0,17,13.0,10.83,4.0
1243,0x1f07,0,30.0,7,15746.63,1122.2191666666663,4,3,18,5.0,25,10.0,10.83,4.0
1246,0x1f0e,0,19.0,7,97961.96,8205.496666666666,4,6,6,0.0,7,12.0,6.46,0.0
1247,0x1f11,0,19.0,12,97961.96,8205.496666666666,4,6,6,0.0,7,10.0,6.46,3.0
1248,0x1f12,0,19.0,7,97961.96,8163.496666666667,4,6,6,0.0,7,10.0,6.46,3.0
1251,0x1f1a,0,47.0,1,31895.07,2488.9225,3,6,2,4.0,12,10.0,3.06,2.0
1252,0x1f1b,0,47.0,1,31895.07,2488.9225,3,6,2,4.0,16,7.0,3.06,2.0
1253,0x1f1c,0,47.0,1,31895.07,2488.9225,3,6,2,4.0,16,9.0,3.06,2.0
1254,0x1f1e,0,48.0,12,31895.07,2657.9225,3,6,2,4.0,12,14.0,3.06,2.0
1255,0x1f1f,0,48.0,1,31895.07,2488.9225,3,6,2,4.0,16,8.0,3.06,2.0
1259,0x1f2a,0,32.0,1,30922.28,2494.8566666666666,1,5,12,2.0,19,1.0,11.71,2.0
1260,0x1f2b,0,32.0,1,30922.28,2494.8566666666666,1,5,12,2.0,19,1.0,11.71,2.0
1261,0x1f2d,0,32.0,12,30922.28,2576.8566666666666,1,5,12,2.0,19,1.0,11.71,2.0
1262,0x1f32,1,37.0,6,25530.33,2137.5275,3,4,19,0.0,16,13.0,11.98,6.0
1263,0x1f33,1,37.0,6,25530.33,2137.5275,3,4,19,0.0,17,13.0,11.98,8.0
1266,0x1f38,1,37.0,6,25530.33,2137.5275,3,4,19,0.0,17,13.0,11.98,8.0
1267,0x1f39,1,37.0,6,25530.33,2137.5275,3,4,19,0.0,16,13.0,11.98,8.0
1268,0x1f3e,1,51.0,3,110786.63999999998,9232.22,4,6,5,3.0,12,15.0,8.68,1.0
1269,0x1f3f,1,51.0,3,110786.63999999998,9299.22,4,6,5,3.0,15,15.0,8.68,2.0
1270,0x1f40,1,51.0,3,110786.63999999998,9299.22,4,6,5,3.0,12,15.0,8.68,2.0
1271,0x1f41,0,51.0,3,110786.63999999998,9299.22,4,6,5,3.0,12,14.0,8.68,2.0
1272,0x1f42,1,51.0,3,110786.63999999998,9232.22,4,6,5,3.0,12,15.0,8.68,2.0
1273,0x1f43,0,52.0,3,110786.63999999998,9299.22,4,6,5,3.0,16,15.0,8.68,2.0
1274,0x1f44,0,52.0,3,110786.63999999998,9299.22,5,7,5,3.0,8,14.0,8.68,2.0
1275,0x1f45,1,52.0,3,110786.63999999998,9299.22,5,7,5,3.0,12,15.0,8.68,2.0
1276,0x1f4a,0,26.0,7,39696.98,3211.081666666667,5,5,10,1.0,16,3.0,1.98,1.0
1277,0x1f4b,0,26.0,7,39696.98,3211.081666666667,5,5,10,1.0,11,5.0,-5.02,1.0
1278,0x1f4c,1,26.0,7,39696.98,3211.081666666667,5,5,10,1.0,11,3.0,1.98,1.0
1279,0x1f4d,0,26.0,7,39696.98,3211.081666666667,5,5,10,1.0,11,3.0,1.98,1.0
1281,0x1f50,0,27.0,7,39696.98,3211.081666666667,5,5,10,1.0,11,3.0,1.98,1.0
1284,0x1f59,1,34.0,6,120366.6,9888.55,4,7,2,4.0,17,8.0,0.8,6.0
1285,0x1f5a,1,34.0,12,120366.6,9888.55,4,7,2,4.0,12,8.0,0.8,6.0
1286,0x1f5b,0,34.0,6,120366.6,9888.55,4,7,2,4.0,9,8.0,0.8,6.0
1287,0x1f5c,0,34.0,6,120366.6,9888.55,4,7,2,4.0,12,8.0,4.8,6.0
1288,0x1f5d,0,34.0,6,120366.6,9888.55,4,7,2,4.0,12,8.0,0.8,6.0
1289,0x1f62,1,51.0,9,13074.395,1356.5329166666668,8,7,8,1.0,7,14.0,9.96,2.0
1290,0x1f63,1,51.0,9,13074.395,1356.5329166666668,8,7,8,1.0,9,14.0,-0.04,6.0
1291,0x1f65,1,51.0,9,13074.395,1356.5329166666668,8,7,8,1.0,9,14.0,5.96,6.0
1292,0x1f67,1,52.0,9,13074.395,1356.5329166666668,8,7,8,1.0,9,14.0,5.96,6.0
1294,0x1f69,1,52.0,9,13074.395,1356.5329166666668,8,7,8,1.0,9,13.0,5.96,6.0
1296,0x1f6f,1,30.0,8,76087.68,6155.639999999999,6,3,9,4.0,14,7.0,13.73,2.0
1297,0x1f70,1,30.0,8,76087.68,6155.639999999999,6,3,9,4.0,11,10.0,13.73,2.0
1298,0x1f72,1,31.0,8,76087.68,6155.639999999999,6,3,9,4.0,14,10.0,13.73,2.0
1300,0x1f74,1,31.0,8,76087.68,6155.639999999999,6,3,9,4.0,11,8.0,13.73,2.0
1301,0x1f7b,0,23.0,9,51824.94,4417.745,6,7,26,8.0,38,22.0,0.63,8.0
1302,0x1f7c,0,23.0,9,51824.94,4417.745,6,7,26,8.0,36,14.0,0.63,8.0
1303,0x1f7e,0,23.0,9,51824.94,4417.745,6,7,26,8.0,39,24.0,0.63,8.0
1304,0x1f7f,0,23.0,9,51824.94,4417.745,6,7,26,8.0,33,21.0,0.63,8.0
1306,0x1f81,1,24.0,9,51824.94,4417.745,6,7,26,8.0,33,22.0,2.63,8.0
1307,0x1f86,1,31.0,6,11431.775,930.6479166666668,8,6,16,4.0,7,17.0,0.52,3.0
1308,0x1f87,1,31.0,6,11431.775,930.6479166666668,8,6,16,4.0,2,15.0,0.52,3.0
1310,0x1f89,1,31.0,6,11431.775,952.6479166666668,8,6,16,4.0,7,15.0,0.52,6.0
1311,0x1f8a,1,31.0,6,11431.775,930.6479166666668,8,6,16,4.0,7,15.0,0.52,3.0
1312,0x1f8b,1,31.0,12,11431.775,930.6479166666668,8,6,16,4.0,7,12.0,3.52,3.0
1313,0x1f8c,1,31.0,6,11431.775,930.6479166666668,8,6,16,4.0,7,15.0,1.52,3.0
1315,0x1f92,1,38.0,3,14224.655,1395.3879166666668,8,6,13,1.0,27,10.0,8.1,1.0
1316,0x1f93,1,38.0,3,14224.655,1395.3879166666668,8,6,13,1.0,27,10.0,8.1,1.0
1317,0x1f94,1,38.0,3,14224.655,1395.3879166666668,8,6,13,1.0,27,10.0,8.1,1.0
1320,0x1f97,1,38.0,3,14224.655,1395.3879166666668,8,6,13,1.0,27,9.0,8.1,5.0
1322,0x1f99,1,38.0,3,14224.655,1395.3879166666668,8,6,13,1.0,24,10.0,8.1,5.0
1323,0x1f9f,1,46.0,11,142170.12,11584.51,3,4,8,2.0,1,1.0,2.58,3.0
1324,0x1fa0,1,46.0,11,142170.12,11584.51,3,4,8,2.0,3,1.0,2.58,3.0
1325,0x1fa1,1,46.0,11,142170.12,11584.51,3,4,8,2.0,3,1.0,2.58,3.0
1326,0x1fa2,1,46.0,11,142170.12,11584.51,3,4,8,2.0,3,1.0,2.58,3.0
1328,0x1fa4,1,46.0,11,142170.12,11584.51,3,4,8,2.0,3,1.0,2.58,3.0
1329,0x1fa5,1,46.0,11,142170.12,11584.51,3,4,8,2.0,3,1.0,2.58,3.0
1332,0x1fac,1,45.0,9,19951.765,1662.6470833333333,1,1,12,2.0,10,6.0,2.89,0.0
1333,0x1fad,1,45.0,9,19951.765,1662.6470833333333,1,1,12,2.0,11,6.0,2.89,5.0
1334,0x1faf,1,45.0,9,19951.765,1662.6470833333333,1,1,12,2.0,10,6.0,2.89,5.0
1335,0x1fb1,1,46.0,9,19951.765,1592.647083333333,1,1,12,2.0,15,6.0,-2.11,5.0
1336,0x1fb7,1,36.0,14,94454.1,8102.175,1,4,5,3.0,9,14.0,1.63,4.0
1337,0x1fb8,1,36.0,14,94454.1,8102.175,1,4,5,3.0,6,7.0,-3.37,4.0
1338,0x1fb9,1,36.0,14,94454.1,7871.175,1,4,5,3.0,9,6.0,1.63,4.0
1339,0x1fba,1,36.0,12,94454.1,7871.175,1,4,5,3.0,9,6.0,1.63,6.0
1340,0x1fbb,1,36.0,14,94454.1,8102.175,1,4,5,3.0,9,6.0,1.63,6.0
1342,0x1fc2,1,28.0,3,27063.43,2255.2858333333334,8,3,12,4.0,21,14.0,12.49,2.0
1343,0x1fc3,1,28.0,3,27063.43,2455.285833333333,8,3,12,4.0,21,13.0,12.49,2.0
1344,0x1fc4,1,28.0,3,27063.43,2455.285833333333,8,3,12,4.0,21,13.0,12.49,2.0
1345,0x1fc6,1,28.0,3,27063.43,2455.285833333333,8,3,12,4.0,21,12.0,8.49,5.0
1347,0x1fc8,1,28.0,3,27063.43,2455.285833333333,8,3,12,4.0,19,15.0,14.49,5.0
1348,0x1fce,0,44.0,10,36980.1,3352.675,6,10,29,6.0,54,16.0,9.55,12.0
1349,0x1fcf,0,44.0,10,36980.1,3352.675,6,10,29,6.0,54,16.0,9.55,12.0
1350,0x1fd0,0,44.0,10,36980.1,3352.675,6,10,29,6.0,49,14.0,9.55,12.0
1353,0x1fd4,1,44.0,10,36980.1,3352.675,6,10,29,6.0,54,18.0,9.55,14.0
1354,0x1fda,1,26.0,14,96582.24,7886.52,3,3,13,1.0,9,13.0,19.79,0.0
1355,0x1fdb,1,26.0,14,96582.24,7886.52,3,3,13,1.0,6,18.0,19.79,6.0
1356,0x1fdc,1,26.0,14,96582.24,7886.52,3,3,13,1.0,5,15.0,19.79,0.0
1357,0x1fdd,1,26.0,14,96582.24,7886.52,3,3,13,1.0,10,16.0,19.79,0.0
1358,0x1fde,1,26.0,14,96582.24,7886.52,3,3,13,1.0,10,15.0,19.79,0.0
1359,0x1fdf,1,26.0,14,96582.24,7886.52,3,3,13,1.0,15,15.0,12.79,0.0
1360,0x1fe0,1,27.0,14,96582.24,7886.52,3,3,13,1.0,10,15.0,19.79,0.0
1361,0x1fe1,1,27.0,14,96582.24,7886.52,3,3,13,1.0,10,18.0,19.79,0.0
